Year,Area,Street,Street 2,Strange HTML
2011,,High  St  Solihull,High St Solihull,
2011,,High  St  Kings  Heath,High St Kings Heath,
2011,,High  St  Kings  Heath,High St Kings Heath,
2011,,"High  St,  Kings  Heath","High St, Kings Heath",
2011,,Hob  Moor  Rd  At  Starbank  Rd,Hob Moor Rd At Starbank Rd,
2011,,Holloway  Head  Bham  City  Ctr,Holloway Head Bham City Ctr,
2011,,Hollywell  Rd,Hollywell Rd,
2011,,Home  Address,Home Address,
2011,,Home  Address,Home Address,
2011,,Homer  St,Homer St,
2011,,Hunters  Moon  Public  House.,Hunters Moon Public House.,
2011,,Hurst  St,Hurst St,
2011,,Hurst  St,Hurst St,
2011,,Hurst  St,Hurst St,
2011,,"Hurst  St,  Birmingham","Hurst St, Birmingham",
2011,,Kings  Heath  High  St,Kings Heath High St,
2011,,"Knowle  Rd,  Small  Heath,  Bham","Knowle Rd, Small Heath, Bham",
2011,,Ladypool  Rd,Ladypool Rd,
2011,,Ladypool  Rd,Ladypool Rd,
2011,,Ladywell  Walk,Ladywell Walk,
2011,,Lea  Hall  Rd,Lea Hall Rd,
2011,,Lea  Hall  Rd,Lea Hall Rd,
2011,,"Lea  Village,  Stechford","Lea Village, Stechford",
2011,,"Lenches  Close,  Mosley","Lenches Close, Mosley",
2011,,Lime  Tree  Rd,Lime Tree Rd,
2011,,Lode  Ln  @  Hermitage  Rd,Lode Ln @ Hermitage Rd,
2011,,Long  St,Long St,
2011,,Long  St.  Sparkhill,Long St. Sparkhill,
2011,,Longbridge  Ln,Longbridge Ln,
2011,,"Longmeadow  Crescent  Shard  End  ,  Bham","Longmeadow Crescent Shard End , Bham",
2011,,Maccadown  Ln,Maccadown Ln,
2011,,Masshouse  Ln,Masshouse Ln,
2011,,Meadwaym  Stechford,Meadwaym Stechford,
2011,,"Mickleover  Rd,  Bromford","Mickleover Rd, Bromford",
2011,,Moorcroft  Rd,Moorcroft Rd,
2011,,Moseley  Rd,Moseley Rd,
2011,,Moseley  Rd,Moseley Rd,
2011,,Moseley  Rd,Moseley Rd,
2011,,Moseley  Rd,Moseley Rd,
2011,,Moseley  Village,Moseley Village,
2011,,Moseley  Village,Moseley Village,
2011,,"Moseley  Village,  Alcester  Rd","Moseley Village, Alcester Rd",
2011,,"Mosley  All  Services  Club,  Church  Rd,  Moseley.","Mosley All Services Club, Church Rd, Moseley.",
2011,,Nearlands  Close  Quinton,Nearlands Close Quinton,
2011,,New  St,New St,
2011,,Northfield  High  St,Northfield High St,
2011,,"O/S  Behans,  Highfield  Rd,  Billesley","O/S Behans, Highfield Rd, Billesley",
2011,,"O/S  The  Junction,  Mosley  Village","O/S The Junction, Mosley Village",
2011,,O/S  Washwood  Heath  Rd,O/S Washwood Heath Rd,
2011,,"Oakhill  Rd,  Acocks  Green","Oakhill Rd, Acocks Green",
2011,,Opp  White  Hart  Ln  Cooks  Ln,Opp White Hart Ln Cooks Ln,
2011,,"Opposite,  Aldi,  Statford  Rd","Opposite, Aldi, Statford Rd",
2011,,Outside  Java  Lounge  Alcester  Rd,Outside Java Lounge Alcester Rd,
2011,,Outside  O2  Academy  Night  Club  B'ham  City  Ctr,Outside O2 Academy Night Club B'ham City Ctr,
2011,,Outside  Raven  Public  House,Outside Raven Public House,
2011,,"Packington  Ave,  Shard  End","Packington Ave, Shard End",
2011,,Park  Off  Hob  Moor  Rd,Park Off Hob Moor Rd,
2011,,Parkhall  Croft,Parkhall Croft,
2011,,Pear  Tree  Ph,Pear Tree Ph,
2011,,Police  Station,Police Station,
2011,,Police  Station  Stechford,Police Station Stechford,
2011,,Poplar  Rd,Poplar Rd,
2011,,Poplar  Rd,Poplar Rd,
2011,,"Poplar  Rd  ,  Solihull","Poplar Rd , Solihull",
2011,,"Poplar  Rd,  Solihull","Poplar Rd, Solihull",
2011,,Preston  Rd,Preston Rd,
2011,,"Priory  Rd,  Hall  Green","Priory Rd, Hall Green",
2011,,Prospect  Rd,Prospect Rd,
2011,,Queenswood  Rd,Queenswood Rd,
2011,,"Rear  Of  Boots,  High  St","Rear Of Boots, High St",
2011,,"Reddings  Ln,  Tsyley","Reddings Ln, Tsyley",
2011,,"Richmond  Primary  Care  Ctr,  Richmond  Rd,  Stechford","Richmond Primary Care Ctr, Richmond Rd, Stechford",
2011,,"Ring  Rd,  Stourbridge","Ring Rd, Stourbridge",
2011,,"Sainsburys,  Wawrick  Rd","Sainsburys, Wawrick Rd",
2011,,Sainsburys.  Alcester  Rd  South,Sainsburys. Alcester Rd South,
2011,,Sandford  Rd  Moseley,Sandford Rd Moseley,
2011,,Sarehole  Mill,Sarehole Mill,
2011,,Sedgemere  Rd,Sedgemere Rd,
2011,,Shirley  Rd,Shirley Rd,
2011,,Shirley  Rd,Shirley Rd,
2011,,Snow  Hill,Snow Hill,
2011,,Solihull  Ln,Solihull Ln,
2011,,"St  Mary's  Rd,  Moseley","St Mary's Rd, Moseley",
2011,,St  Marys  Row,St Marys Row,
2011,,Station  Rd,Station Rd,
2011,,"Station  Way,  Birmingham  International  Rail  Station","Station Way, Birmingham International Rail Station",
2011,,Stechford  Front  Office,Stechford Front Office,
2011,,Stechford  P.S.,Stechford P.S.,
2011,,Stechford  Retail  Park.,Stechford Retail Park.,
2011,,Stonehenge  Croft  Druids  Heath,Stonehenge Croft Druids Heath,
2011,,Stoney  Ln,Stoney Ln,
2011,,Stoney  Ln,Stoney Ln,
2011,,Stoney  Ln,Stoney Ln,
2011,,"Statford  Heath,  Spark  Hill,  Birmingham","Statford Heath, Spark Hill, Birmingham",
2011,,Statford  Rd,Statford Rd,
2011,,Statford  Rd,Statford Rd,
2011,,Statford  Rd,Statford Rd,
2011,,"Statford  Rd,  Hall  Green","Statford Rd, Hall Green",
2011,,Statford  Rds,Statford Rds,
2011,,"Stuart  Rd,  Stechford","Stuart Rd, Stechford",
2011,,Talbort  St,Talbort St,
2011,,Taunton  Rd,Taunton Rd,
2011,,Tavistock  Rd,Tavistock Rd,
2011,,The  Ave,The Ave,
2011,,The  Paer  Tree  Pub,The Paer Tree Pub,
2011,,Trafalger  Rd,Trafalger Rd,
2011,,Wake  Green  Rd,Wake Green Rd,
2011,,Ward  End  Rd,Ward End Rd,
2011,,Warwick  Rd,Warwick Rd,
2011,,Warwick  Rd,Warwick Rd,
2011,,Warwick  Rd,Warwick Rd,
2011,,Warwick  Rd,Warwick Rd,
2011,,Warwick  Rd,Warwick Rd,
2011,,Warwick  Rd  Tysley,Warwick Rd Tysley,
2011,,Wash  Ln,Wash Ln,
2011,,Washford  Heath  Rd,Washford Heath Rd,
2011,,Washwood  Heath  Pub,Washwood Heath Pub,
2011,,"Washwood  Heath  Rd,  Washwood  Heath,  Bham","Washwood Heath Rd, Washwood Heath, Bham",
2011,,Washwood  Heath  Rd,Washwood Heath Rd,
2011,,Washwood  Heath  Rd,Washwood Heath Rd,
2011,,Washwood  Heath  Rd,Washwood Heath Rd,
2011,,Washwood  Heath  Rd,Washwood Heath Rd,
2011,,"Watery  Ln  Middleway,  Birmingham","Watery Ln Middleway, Birmingham",
2011,,Wawrick  Rd,Wawrick Rd,
2011,,"Welshfarm  Rd,  Quinton","Welshfarm Rd, Quinton",
2011,,Westley  Rd,Westley Rd,
2011,,"Westley  Rd,  Acocks  Green","Westley Rd, Acocks Green",
2011,,White  Hart  Public  House,White Hart Public House,
2011,,White  Hart  Public  House,White Hart Public House,
2011,,"Whiteheart  Pub,  Gressell  Ln","Whiteheart Pub, Gressell Ln",
2011,,"William  Hill  Bookmakers,  Washwood  Heath  Rd","William Hill Bookmakers, Washwood Heath Rd",
2011,,"William  Hill  Bookmakers,  Washwood  Heath  Rd","William Hill Bookmakers, Washwood Heath Rd",
2011,,William  Hill  Washwood  Heath  Rd,William Hill Washwood Heath Rd,
2011,,Windward  Rd,Windward Rd,
2011,,Windward  Rd,Windward Rd,
2011,,"Wood  End  Rd,  Erdington","Wood End Rd, Erdington",
2011,,"Woodbridge  Rd,  Moseley","Woodbridge Rd, Moseley",
2011,,Wright  St,Wright St,
2011,,Yardley  Green  Rd,Yardley Green Rd,
2011,,Yardley  Rd  Acocks  Green,Yardley Rd Acocks Green,
2011,,Yardley  Wood  Rd,Yardley Wood Rd,
2011,,Yardley  Wood  Rd,Yardley Wood Rd,
2011,,Yew  Tree  Car  Park,Yew Tree Car Park,
2011,,Yew  Tree  Ln,Yew Tree Ln,
2011,,Yew  Tree  Public  House  Car  Park.,Yew Tree Public House Car Park.,
2011,,"Armada  Pub,  Slade  Rd,  Erdington,  Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham",
2011,,"Armarda  Pub,    Gravelly  Hill","Armarda Pub,  Gravelly Hill",
2011,,"Armarda  Pub,  Gravelly  Hill","Armarda Pub, Gravelly Hill",
2011,,Badgers  Bank  Rd,Badgers Bank Rd,
2011,,"Baldmoor  Lake  Rd,  Erdington,  Birmingham.","Baldmoor Lake Rd, Erdington, Birmingham.",
2011,,"Bandywood  Rd,  Kingstanding","Bandywood Rd, Kingstanding",
2011,,Beckenham  Rd,Beckenham Rd,
2011,,Beeches  Walk,Beeches Walk,
2011,,Birmingham  Rd,Birmingham Rd,
2011,,Birmingham  Rd,Birmingham Rd,
2011,,"Birmingham  Rd,  Sc","Birmingham Rd, Sc",
2011,,Birmingham  Rd,Birmingham Rd,
2011,,Birmingham  Rd,Birmingham Rd,
2011,,Birmingham  Rd  Sutton,Birmingham Rd Sutton,
2011,,"Birmingham  Rd,  Erdington","Birmingham Rd, Erdington",
2011,,"Birmingham  Rd,  Sutton  Coldfield","Birmingham Rd, Sutton Coldfield",
2011,,"Birmingham  Rd,  Sutton  Coldfield","Birmingham Rd, Sutton Coldfield",
2011,,Bowling  Green  Close,Bowling Green Close,
2011,,"Bracebridge  Rd,  Erdington","Bracebridge Rd, Erdington",
2011,,Brassington  Ave,Brassington Ave,
2011,,Bromford  Ln,Bromford Ln,
2011,,"Bromford  Ln,  Erdington,  B'ham","Bromford Ln, Erdington, B'ham",
2011,,Brookvale  Park  Rd,Brookvale Park Rd,
2011,,"Carhampton  Rd,  Falcon  Lodge,  Sutton  Colfield","Carhampton Rd, Falcon Lodge, Sutton Colfield",
2011,,Carshalton  Rd,Carshalton Rd,
2011,,Carshorlton  Rd,Carshorlton Rd,
2011,,Chester  Rd,Chester Rd,
2011,,Chester  Rd,Chester Rd,
2011,,"Chester  Rd,  Halls  Garden  Ctr","Chester Rd, Halls Garden Ctr",
2011,,Church  Rd  At  Chester  Rd,Church Rd At Chester Rd,
2011,,"College  Rd,  Kingstanding,  B'ham","College Rd, Kingstanding, B'ham",
2011,,"College  Rd,  Kingstanding,  B'ham","College Rd, Kingstanding, B'ham",
2011,,"Copshill  Court,  Mount  View,  Sutton  Coldfield","Copshill Court, Mount View, Sutton Coldfield",
2011,,"Dovedale  Rd,  Erdington,  B'ham","Dovedale Rd, Erdington, B'ham",
2011,,"Downside  Rd,  Erdington,  B'ham","Downside Rd, Erdington, B'ham",
2011,,"Eachelhurt  Rd,  Erdington","Eachelhurt Rd, Erdington",
2011,,Erdington  Hall  Rd,Erdington Hall Rd,
2011,,Erdington  Hall  Rd,Erdington Hall Rd,
2011,,Erdington  High  St,Erdington High St,
2011,,"Fentham  Rd,  Erdington,  B'ham","Fentham Rd, Erdington, B'ham",
2011,,Finchley  Rd,Finchley Rd,
2011,,"Finchley  Rd,  Kingstanding,  B'ham","Finchley Rd, Kingstanding, B'ham",
2011,,George  Frederick  Rd,George Frederick Rd,
2011,,Golden  Pond  Take  Away          Boldmere  Rd,Golden Pond Take Away ?????? Boldmere Rd,
2011,,Good  Hope  Hospital,Good Hope Hospital,
2011,,Gracechurch  Ctr,Gracechurch Ctr,
2011,,"Gracechurch  Ctr,  Outside  Supercigs","Gracechurch Ctr, Outside Supercigs",
2011,,"Gracechurch  Shopping  Ctr,  Sutton  Coldfield","Gracechurch Shopping Ctr, Sutton Coldfield",
2011,,"Grassed  Area  ,  Pype  Hayes  Park....","Grassed Area , Pype Hayes Park....",
2011,,Gravelley  Ln,Gravelley Ln,
2011,,Gravelley  Ln,Gravelley Ln,
2011,,Gravelley  Ln,Gravelley Ln,
2011,,"Gravelly  Ln,  Erdington,  Birmingham","Gravelly Ln, Erdington, Birmingham",
2011,,Hairy  Lemon  Pub  .Sutton  Coldfield,Hairy Lemon Pub .Sutton Coldfield,
2011,,Hairy  Lemon  Pub  .Sutton  Coldfield,Hairy Lemon Pub .Sutton Coldfield,
2011,,Hermatige  Rd,Hermatige Rd,
2011,,Hermatige  Rd,Hermatige Rd,
2011,,Hermitage  Drive,Hermitage Drive,
2011,,High  St,High St,
2011,,High  St  Erdington,High St Erdington,
2011,,"High  St,  Erdington","High St, Erdington",
2011,,"High  St,  Erdington","High St, Erdington",
2011,,"High  St,  S/C","High St, S/C",
2011,,"High  St,  S/C","High St, S/C",
2011,,Hight  St  Erdington,Hight St Erdington,
2011,,Hunton  Hill,Hunton Hill,
2011,,"Kfc  Retail  Outlet  ,  Erdington  High  St","Kfc Retail Outlet , Erdington High St",
2011,,"Kingsbury  Rd,  Erdington,  B'ham","Kingsbury Rd, Erdington, B'ham",
2011,,Kingstanding  Circle,Kingstanding Circle,
2011,,"Ladywell  Walk,  Birmingham","Ladywell Walk, Birmingham",
2011,,Landsdown  Rd,Landsdown Rd,
2011,,"Lichfield  Rd,  Mere  Green","Lichfield Rd, Mere Green",
2011,,"Lichfield  Rd,  Sutton  Coldfield","Lichfield Rd, Sutton Coldfield",
2011,,"Lindridge  Rd,  Sutton  Coldfield","Lindridge Rd, Sutton Coldfield",
2011,,Little  Aston  Ln,Little Aston Ln,
2011,,Longford  Rd,Longford Rd,
2011,,"Longford  Rd,  Kingstanding,  B'ham","Longford Rd, Kingstanding, B'ham",
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade,Lower Parade,
2011,,Lower  Parade  Sc,Lower Parade Sc,
2011,,Lower  Parade  Sutton,Lower Parade Sutton,
2011,,Lower  Parade  Sutton  Coldfield,Lower Parade Sutton Coldfield,
2011,,"Lower  Parade,","Lower Parade,",
2011,,"Lower  Parade,  Suton  Coldfield","Lower Parade, Suton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield",
2011,,"Lower  Parade,  Sutton  Coldfield  Town  Ctr","Lower Parade, Sutton Coldfield Town Ctr",
2011,,"Lower  Parade,  Sutton  Coldfield  Town  Ctr","Lower Parade, Sutton Coldfield Town Ctr",
2011,,"Lower  Parade,  Sutton  Coldfield.","Lower Parade, Sutton Coldfield.",
2011,,Lydham  Close,Lydham Close,
2011,,Mill  St,Mill St,
2011,,"Mill  St,  Sutton  Coldfield","Mill St, Sutton Coldfield",
2011,,Moor  Hall  Hotel,Moor Hall Hotel,
2011,,"Mulberry  Court  Carpark,  Kings  Rd,  Kingstanding,  Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham",
2011,,Newhall  Walk  Car  Park,Newhall Walk Car Park,
2011,,Newhall  Walk  Car  Park,Newhall Walk Car Park,
2011,,O/S  H/A,O/S H/A,
2011,,O/S  Litten  Tree,O/S Litten Tree,
2011,,"O/S  Litten  Tree,  S/C  Town  Ctr","O/S Litten Tree, S/C Town Ctr",
2011,,"O/S  Moomoo  Bar,  S/C  Town  Ctr","O/S Moomoo Bar, S/C Town Ctr",
2011,,"O/S  Moomoo  Bar,  South  Parade","O/S Moomoo Bar, South Parade",
2011,,O/S  Retro,O/S Retro,
2011,,"O/S  Retro  ,  South  Parade","O/S Retro , South Parade",
2011,,O/S  Retros,O/S Retros,
2011,,"O/S  Royal  Hotel,  Lichfield  Rd","O/S Royal Hotel, Lichfield Rd",
2011,,O/S  Temple  Bar,O/S Temple Bar,
2011,,O/S  Temple  Bar,O/S Temple Bar,
2011,,"O/S  Temple  Bar,  High  St","O/S Temple Bar, High St",
2011,,"O/S  Temple  Bar,  Lower  Parade  Sutton  Coldfield.","O/S Temple Bar, Lower Parade Sutton Coldfield.",
2011,,"O/S  Temple  Bar,  S/C  Town  Ctr","O/S Temple Bar, S/C Town Ctr",
2011,,"O/S  Temple  Bar,  Sutton  Coldfield,  West  Milands","O/S Temple Bar, Sutton Coldfield, West Milands",
2011,,O/S  The  Hairy  Lemon,O/S The Hairy Lemon,
2011,,On  Pavement  Outside  The  Royal  Hotel,On Pavement Outside The Royal Hotel,
2011,,"Ourtside  Royal  Pub,  Lichfield  Rd,  Sutton  Coldfield","Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",
2011,,"Outside  Glendale  Tower,  Lyndhurst  Estate","Outside Glendale Tower, Lyndhurst Estate",
2011,,"Outside  Litten  Tree  Pub,  Birmingham  Rd,  Sutton  Coldfield`","Outside Litten Tree Pub, Birmingham Rd, Sutton Coldfield`",
2011,,"Outside  Moo  Moo  Club,  Town  Ctr,  Sutton  Coldfield","Outside Moo Moo Club, Town Ctr, Sutton Coldfield",
2011,,"Outside  Moo  Moo  Night  Club,  South  Parade","Outside Moo Moo Night Club, South Parade",
2011,,"Outside  Temple  Parade,  Lower  Parade","Outside Temple Parade, Lower Parade",
2011,,"Outside  The  Temple  Bar,  Lower  Parade,  Sc","Outside The Temple Bar, Lower Parade, Sc",
2011,,Parade  .  Sutton  Coldfield,Parade . Sutton Coldfield,
2011,,Parade  Sc,Parade Sc,
2011,,Parade  Sutton  Coldfield,Parade Sutton Coldfield,
2011,,Parade  Sutton  Coldfield,Parade Sutton Coldfield,
2011,,Parade  Sutton  Coldfield,Parade Sutton Coldfield,
2011,,Parade  Sutton  Town,Parade Sutton Town,
2011,,"Parade,  Sutton  Coldfield","Parade, Sutton Coldfield",
2011,,"Parade,  Sutton  Coldfield","Parade, Sutton Coldfield",
2011,,"Parade,  Sutton  Town  Ctr","Parade, Sutton Town Ctr",
2011,,"Parkeston  Crescent,  Kinsgatnding,  B'ham","Parkeston Crescent, Kinsgatnding, B'ham",
2011,,Plants  Grove  Erdington,Plants Grove Erdington,
2011,,"Pype  Hayes  Rd,  Pype  Hayes,  B'ham","Pype Hayes Rd, Pype Hayes, B'ham",
2011,,"Pype  Hayes  Rd,  Pype  Hayes,  B'ham","Pype Hayes Rd, Pype Hayes, B'ham",
2011,,"Pype  Hayes  Rd,  Pype  Hayes,  B'ham","Pype Hayes Rd, Pype Hayes, B'ham",
2011,,Queen  St,Queen St,
2011,,Queen  St,Queen St,
2011,,Queen  St,Queen St,
2011,,Queen  St,Queen St,
2011,,Queen  St  Sutton  Coldfield  Town  Ctr,Queen St Sutton Coldfield Town Ctr,
2011,,Queslett  Rd  East,Queslett Rd East,
2011,,Redacre  Rd  Boldmere,Redacre Rd Boldmere,
2011,,Reservoir  Rd,Reservoir Rd,
2011,,Ridgeway,Ridgeway,
2011,,"Slade  Rd,  Erdington,  B'ham","Slade Rd, Erdington, B'ham",
2011,,"Slade  Rd,  Erdington,  B'ham","Slade Rd, Erdington, B'ham",
2011,,"Soth  Parade,  Sutton  Coldfield","Soth Parade, Sutton Coldfield",
2011,,"Soth  Parade,  Sutton  Coldfield","Soth Parade, Sutton Coldfield",
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,South  Parade,South Parade,
2011,,"South  Parade          Town  Ctr,  Sutton  Coldfield","South Parade ?????? Town Ctr, Sutton Coldfield",
2011,,South  Parade  Sutton  Coldfield,South Parade Sutton Coldfield,
2011,,South  Parade  Sutton  Coldfield,South Parade Sutton Coldfield,
2011,,South  Parade  Sutton  Town  Ctr,South Parade Sutton Town Ctr,
